Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
SAC A POUBELLE GEANT BLANC,0,125.0,2075.0,0.06,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,13081,2,2,93.06803594351732,0,2024-01,lundi,0,1,0,9
SALADE LAITUE TUN,0,20.9,393.7,0.053,Legumes Frais,A,KG,SOLIDES,Economat,17669,1,1,77.4962742175857,0,2024-01,lundi,0,1,0,9
SANIT SURF,0,2.0,51.0,0.039,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,13087,2,2,60.243277848911646,0,2024-01,lundi,0,1,0,9
SAUCE BARBECUE,0,1.0,30.0,0.033,Epicerie,C,PC (1 PC),SOLIDES,Economat,12822,1,1,41.7910447761194,0,2024-01,lundi,0,1,0,9
SEL FIN DE TABLE,0,1.0,23.0,0.043,Epicerie,B,PC (1 KG),SOLIDES,Economat,12838,1,1,82.20338983050848,0,2024-01,lundi,0,1,0,9
SERPILLERE,0,8.0,122.0,0.066,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,13090,2,2,93.53846153846152,0,2024-01,lundi,0,1,0,9
SERVIETTE EN PAPIER 30*30,0,96.0,786.0,0.122,Consommable,A,PC (1 PC),CONSO/HYG,Economat,13092,4,4,77.73212818405916,0,2024-01,lundi,0,1,0,9
SET DE PLATEAU DB,0,2000.0,9000.0,0.222,Consommable,B,PC,CONSO/HYG,Economat,15143,1,1,93.81443298969072,0,2024-01,lundi,0,1,0,9
SNICKERS,0,80.0,100.0,0.8,Epicerie,C,PC (1 PC),SOLIDES,Economat,13097,2,2,30.76923076923077,0,2024-01,lundi,0,1,0,9
SUCRE BLANC EN SACHET GOURM,0,1000.0,4000.0,0.25,Cafe,B,PC (1 PC),LIQUIDES,Economat,12343,1,1,56.66666666666666,0,2024-01,lundi,0,1,0,9
SUCRE EN SACHET DAILY BREAK,0,10.0,230.0,0.043,Cafe,A,PC (1 KG),LIQUIDES,Economat,12849,1,1,85.03401360544217,0,2024-01,lundi,0,1,0,9
"THON EN BOITES,0,30.0,164.0,0.183,Conserve de Poisson,A,""BTE (2,05 KG)"",SOLIDES,Economat,12855,1,1,78.74396135265701,0,2024-01,lundi,0,1,0,9"
TOMATE CONCENTRE 4/4,0,12.0,24.0,0.5,Epicerie,D,PC,SOLIDES,Economat,12859,1,1,100.0,0,2024-01,lundi,0,1,0,9
