Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock
SANIT SURF,1.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,5.0
ORANGE A JUS,20.0,KG (1 KG),Jus Fruit Lait,mardi,2024-01,A,1,121.0
GANT EN VINYL MEDUIM,100.0,SCH (1 PC),Hygiène,mardi,2024-01,A,1,1000.0
RED BULL,9.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,96.0
COCA COLA BOITE 24CL,39.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,240.0
SAUCE A L'AIL PB,3.0,L (1 KG),Epicerie,mardi,2024-01,A,1,3.0
GOBLET PET 350 CC,300.0,PC,Consommable,mardi,2024-01,A,1,1300.0
OIGNONS BLANC,20.0,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,33.65
SAUCE BARBECUE,2.0,PC (1 PC),Epicerie,mardi,2024-01,C,1,10.0
CHAPLUR,2.0,PC (1 KG),Epicerie,mardi,2024-01,C,1,12.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),4.0,PC (1 KG),Cafe,mardi,2024-01,A,1,9.0
FUT HEINEKEIN,20.0,PC (1 L),Alcools,mardi,2024-01,B,1,120.0
HEINEKEN BLLE 30CL,228.0,BTL (1 BTL),Alcools,mardi,2024-01,A,1,555.0
FANTA BOITE 24CL,12.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,120.0
BOGA LIME BOITE 24CL,10.0,BTE (1 PC),Eaux et Sodas,mardi,2024-01,A,1,138.0
MAY 0.5L,127.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,1680.0
PATE PLUME COURTE,12.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,24.0
JEX CARRE,4.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,35.0
AGITATEUR EN BOIS 11CM,1.0,PC (1 PC),Consommable,mardi,2024-01,C,1,3000.0
LAIT UHT DEMI ECREME,3.0,PQT (1 L),Jus Fruit Lait,mardi,2024-01,A,1,82.0
FILM ETIRABLE 725GR,4.0,PC (1 GR),Consommable,mardi,2024-01,A,1,6.0
GOBLET DB 19 CC,250.0,PC (1 PC),Consommable,mardi,2024-01,A,1,3000.0
FILM ETIRABLE 725GR,1.0,PC (1 GR),Consommable,mardi,2024-01,A,1,6.0
SAC A POUBELLE GEANT BLANC,150.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,400.0
GANT EN VINYL  XL,300.0,SCH (1 PC),Hygiène,mardi,2024-01,A,1,1000.0
LAIT UHT DEMI ECREME,6.0,PQT (1 L),Jus Fruit Lait,mardi,2024-01,A,1,82.0
SERPILLERE,2.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,42.0
ORANGINA BOITE 24 CL,5.0,BTE (1 BTE),Eaux et Sodas,mardi,2024-01,A,1,72.0
BON DE TRANSFERT 50*3,1.0,PC,Fournitures de Bureau,mardi,2024-01,B,1,9.0
RED BULL,15.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,96.0
FARINE EN PAQUET,6.0,PC (1 KG),Epicerie,mardi,2024-01,A,1,50.0
SERPILLERE,2.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,42.0
LAVETTE COTON,4.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,50.0
SACHET BRETELLES 38X60 MF,50.0,PC,Consommable,mardi,2024-01,B,1,225.0
SANIT SURF,1.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,5.0
LAVETTE COTON,2.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,50.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),1.0,PC (1 KG),Cafe,mardi,2024-01,A,1,9.0
PIMENT DOUX,15.25,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,20.0
COUVERCLE AVEC TROU BOMBE 95KY,300.0,PC,Consommable,mardi,2024-01,B,1,1000.0
LAIT UHT DEMI ECREME,18.0,PQT (1 L),Jus Fruit Lait,mardi,2024-01,A,1,82.0
GANTS LATEX,200.0,PC (1 PC),Hygiène,mardi,2024-01,A,1,600.0
CHAMPIGNON FRAIS BARQUETTE,2.0,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,10.0
BASILIC BARQUETTE,0.3,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,2.75
COCA COLA BOITE 24CL,34.0,PC,Eaux et Sodas,mardi,2024-01,A,1,240.0
PAQUET 17/4,100.0,PC,Consommable,mardi,2024-01,C,1,200.0
MAY 0.5L,144.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,1680.0
FROMAGE MAASDAM EN BLOC PB,5.0,KG,Beurre Oeuf Fromage,mardi,2024-01,A,1,20.0
SEL FIN DE TABLE,6.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,12.0
VIANDE HACHEE SPECIAL RESTO,4.8,PC (1 KG),Viandes Fraiches,mardi,2024-01,A,1,162.87
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,1.0
TOMATE FRAICHE,21.2,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,83.0
GOBLET 6.5 0Z MF,200.0,PC,Consommable,mardi,2024-01,B,1,1000.0
GARCI GAZ P.E.T 1 L,5.0,L (1 GR),Eaux et Sodas,mardi,2024-01,A,1,103.0
COUVERCLE AVEC TROU BOMBE 95KY,600.0,PC,Consommable,mardi,2024-01,B,1,1000.0
GANT EN VINYL MEDUIM,300.0,SCH (1 PC),Hygiène,mardi,2024-01,A,1,1000.0
EAU MINERALE 1,5L,12.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,3970.0
GRENAD,9.1,KG (1 KG),Jus Fruit Lait,mardi,2024-01,B,1,15.0
ANANAS PCES,10.0,PC (1 PC),Jus Fruit Lait,mardi,2024-01,A,1,34.0
NUTELLA 600GR,3.0,PC (1 PC),Pâtisseries,mardi,2024-01,B,1,48.0
PAILLE ENVELOPPE 7.5MM NOIR,3.0,SCH (100 PC),Consommable,mardi,2024-01,B,1,10.0
PAIN CHAWARMA *10,3.0,PQT (10 PC),Boulangerie_R,mardi,2024-01,A,1,30.0
