Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
SERVIETTE 30*30 MF,4.0,PQT,Consommable,mercredi,2024-07,B,22,74.0
SERVIETTE EN PAPIER 30*30,558.0,PC (1 PC),Consommable,mardi,2024-07,A,22,786.0
SET DE PLATEAU DB,5000.0,PC,Consommable,mardi,2024-07,B,22,9000.0
SOUS FONDANT PERSONNALISE,400.0,PC (1 PC),Consommable,jeudi,2024-08,B,22,1200.0
STYLO BIC,50.0,PC,Fournitures de Bureau,mardi,2024-07,C,22,175.0
SUCRE BLANC EN SACHET GOURM,3000.0,PC (1 PC),Cafe,mardi,2024-07,B,22,4000.0
SUCRE EN SACHET CI-GUSTA,30.0,PC (1 PC),Cafe,samedi,2024-08,B,22,120.0
SUCRE EN SACHET DAILY BREAK,140.0,PC (1 KG),Cafe,mardi,2024-07,A,22,230.0
SUCRE GLACE,1.0,PC,Pâtisseries,mardi,2024-08,D,22,27.0
SUCRE ROUX EN SACHET GOURM,3000.0,PC (1 PC),Cafe,mardi,2024-07,C,22,4000.0
SUCRE VRAC KG,3.0,PC (1 KG),Epicerie,lundi,2024-08,C,22,50.0
THE NOIR MENTHE S SUCRE,180.0,PC (1 PC),THE,jeudi,2024-08,C,22,720.0
THON EN BOITES,126.0,BTE (2.05 KG),Conserve de Poisson,jeudi,2024-08,A,22,164.0
TIC TAC MENTHE,36.0,PC (1 PC),Epicerie,jeudi,2024-08,D,22,36.0
TIC TAC ORANGE,36.0,PC (1 PC),Epicerie,jeudi,2024-08,D,22,36.0
TOMATE CERISES,16.85,KG (1 KG),Legumes Frais,mercredi,2024-07,A,22,24.95
TOMATE FRAICHE,452.3,KG,Legumes Frais,mardi,2024-07,A,22,526.85
VIANDE HACHEE SPECIAL RESTO,110.305,PC (1 KG),Viandes Fraiches,mardi,2024-07,A,22,191.07
AGRAFFE,1.0,PC (1 PC),Fournitures de Bureau,vendredi,2024-08,C,23,11.0
AJAX VITRE,32.0,PC (1 PC),Hygiène,samedi,2024-08,A,23,32.0
AMANDES GRILEES SALEES 70GR,48.0,PC (1 PC),Fruits Secs,vendredi,2024-08,B,23,84.0
AMSTEL BEER BLLE 33CL,230.0,BTL (1 BTL),Alcools,samedi,2024-08,B,23,432.0
ASEPCLOR,35.0,PC (1 PC),Hygiène,vendredi,2024-08,A,23,60.0
BACON DE DINDE TRANCHES (1 - 1.5 KG),38.5,KG (1 KG),Charcuterie,vendredi,2024-08,B,23,43.0
BALAIS SANS MANCHE,1.0,PC (1 PC),Hygiène,samedi,2024-08,C,23,9.0
BARQUETTE CARTON CIG,3000.0,PC,Consommable,vendredi,2024-08,B,23,3000.0
BECK'S JET 24CL,201.0,BTL (1 PC),Alcools,vendredi,2024-08,A,23,683.0
BISCUIT TUC,120.0,PC (1 PC),Epicerie,vendredi,2024-08,D,23,120.0
BLOUSE NON TISSEE,15.0,PC (1 KG),Hygiène,lundi,2024-08,C,23,36.0
BOGA CIDRE PET 30 CL,36.0,PC (1 PC),Eaux et Sodas,mardi,2024-08,C,23,182.0
BOGA LIME BOITE 24CL,1322.0,BTE (1 PC),Eaux et Sodas,vendredi,2024-08,A,23,1322.0
BOGA PET 30CL,65.0,PQT (1 PQT),Eaux et Sodas,samedi,2024-08,B,23,261.0
BOITE A CREPE,3022.0,PC (1 PC),Consommable,vendredi,2024-08,B,23,3150.0
BOITE PIZZA ONDULEE 31/31,150.0,PC,Consommable,lundi,2024-08,C,23,200.0
BOITE PIZZA PM CIG,300.0,PC (1 PC),Consommable,lundi,2024-08,B,23,500.0
BON DE TRANSFERT 50*3,13.0,PC (1 PC),Fournitures de Bureau,samedi,2024-08,B,23,15.0
BORGHELL,3.0,KG (1 KG),Epicerie,vendredi,2024-08,C,23,10.0
BRIOCHE TORSADEE PUR BEURRE PEPITE CHOCO GF,1500.0,PC (1 PC),Viennoiserie,mardi,2024-08,B,23,1500.0
BROCHETTE BAMBOO 20,1.0,SCH (100 PC),Consommable,dimanche,2024-08,C,23,14.0
CAKE CHOCOLAT PBC,88.0,PC (1 PC),Viennoiserie,samedi,2024-08,B,23,88.0
CAKE CITRON PBC,108.0,PC (1 PC),Viennoiserie,samedi,2024-08,B,23,216.0
CAKE MARBRE MARGARINE,209.0,PC (1 PC),Pâtisseries,samedi,2024-08,A,23,561.0
CAKE MARBRE PBC,176.0,PC (1 PC),Viennoiserie,lundi,2024-08,A,23,363.0
CAKE NATURE MARGARINE,33.0,PC (1 PC),Pâtisseries,lundi,2024-08,C,23,132.0
CAROTTE,20.0,KG (1 KG),Legumes Frais,vendredi,2024-08,A,23,67.1
CAROTTE CAKE PBC,176.0,PC (1 PC),Viennoiserie,vendredi,2024-08,B,23,330.0
CELTIA JET 25CL,244.0,PC (1 PC),Alcools,vendredi,2024-08,A,23,591.0
CHAMPIGNON FRAIS BARQUETTE,21.0,KG (1 KG),Legumes Frais,samedi,2024-08,A,23,34.5
CHEWING GUM FLORIDENT  EXTRA WHITE 60G,6.0,PC (1 PC),Epicerie,mardi,2024-08,D,23,24.0
CHOCOLAT EN POUDRE,44.0,PC (0.2 KG),Cafe,lundi,2024-08,A,23,86.0
CHOUX VERT,2.45,KG (1 KG),Legumes Frais,vendredi,2024-08,B,23,12.8
COCA BOITE ZERO,652.0,PC (1 PC),Eaux et Sodas,samedi,2024-08,A,23,990.0
COCA COLA BOITE 24CL,2855.0,PC (1 PC),Eaux et Sodas,vendredi,2024-08,A,23,2855.0
COCA COLA PET 30CL,435.0,PQT (1 PQT),Eaux et Sodas,samedi,2024-08,B,23,435.0
COCA COLA ZERO 30 CL,48.0,PC (1 PC),Eaux et Sodas,samedi,2024-08,B,23,148.0
COFFRET CHECHIA AV SEP 16/16,75.0,PC (1 PC),Consommable,samedi,2024-08,C,23,125.0
COFFRET PORTRAIT AV SEP 11.5/11.5,75.0,PC (1 PC),Consommable,samedi,2024-08,C,23,175.0
COFFRET PORTRAIT AV SEP 19.5/19.5,75.0,PC (1 PC),Consommable,samedi,2024-08,C,23,200.0
COFFRET PORTRAIT AV SEP24.5/14.5,75.0,PC (1 PC),Consommable,samedi,2024-08,C,23,150.0
CONCOMBRE,112.1,KG (1 KG),Legumes Frais,vendredi,2024-08,A,23,177.692
COURGE,12.2,KG (1 KG),Legumes Frais,lundi,2024-08,B,23,47.65
COUTEAU NOIRE EMBALLE EJEM,2000.0,PC (1 PC),Consommable,lundi,2024-08,B,23,4000.0
COUVERCLE GOBLET TRSP 35 CL EJEM,2300.0,PC,Consommable,dimanche,2024-08,B,23,3000.0
CREME A FOUETTER 1LT HOLE,31.0,PC (1 PC),GLACES,vendredi,2024-08,C,23,31.0
CREME CHANTILLY,8.0,PC (1 PC),Pâtisseries,lundi,2024-08,D,23,11.0
CREME DE CUISSON,27.0,L (0.95 L),Beurre Oeuf Fromage,samedi,2024-08,B,23,27.0
CREME SUPERIEUR DELICE 1L,6.0,PC,Epicerie,samedi,2024-08,D,23,34.0
CROISSANT AU CHOCOLAT MARGARINE,750.0,PC (1 PC),Viennoiserie,mardi,2024-08,C,23,750.0
CROISSANT AUX AMANDES  PUR BEURRE GF,1200.0,PC (1 PC),Viennoiserie,mardi,2024-08,B,23,1200.0
CROISSANT NATURE  PUR BEURRE GF,5400.0,PC (1 PC),Viennoiserie,lundi,2024-08,B,23,5400.0
CROISSANT NATURE MARGARINE,650.0,PC (1 PC),Pâtisseries,mardi,2024-08,C,23,675.0
CUILLERE A CAFE PLASTIQUE,26200.0,PC (1 PC),Consommable,vendredi,2024-08,A,23,28100.0
CUISSE DE POULET FRAIS,10.7,KG (1 KG),Volaille Fraiche,mercredi,2024-08,C,23,47.85
DADDY'S CHIPS CLASSIC SEL DE MER 70G,90.0,PC (1 PC),Epicerie,vendredi,2024-08,A,23,225.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,120.0,PC (1 PC),Epicerie,vendredi,2024-08,B,23,165.0
DADDY'S CHIPS SPICY PAPRIKA 70G,90.0,PC (1 PC),Epicerie,vendredi,2024-08,A,23,165.0
DINOL,85.0,BIDON (1 KG),Hygiène,samedi,2024-08,A,23,135.0
DOSETTE KETCHUP PB,3000.0,PC (1000 PC),Epicerie,vendredi,2024-08,C,23,4000.0
DOSETTE MAYO PB,3000.0,PC (1 PC),Epicerie,vendredi,2024-08,C,23,4000.0
EAU MINERALE 1.5L,536.0,PC (1 PC),Eaux et Sodas,vendredi,2024-08,A,23,4556.0
EMBALLAGE CREPE CIG,1800.0,PC,Consommable,samedi,2024-08,B,23,2000.0
EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),Consommable,dimanche,2024-08,D,23,300.0
EMINCE DE BOEUF PORT. SURGELE,54.675,KG (1000 GR),Viandes Surgelées,vendredi,2024-08,A,23,79.49000000000001
ESCALOPE DE DINDE FRAIS,489.5,KG (1 KG),Volaille Fraiche,vendredi,2024-08,D,23,489.5
ESCALOPE POULET FRAIS,101.2,KG (1 KG),Volaille Surgelée,mardi,2024-08,A,23,503.16
ESCALOPE POULET PANE CONGELE,79.39,KG (1 KG),Volaille Surgelée,vendredi,2024-08,A,23,128.91
ESSUIES VERRES,2.0,PC,Hygiène,mardi,2024-08,D,23,4.0
ESSUIT TOUT JUMBO,132.0,PC (1 KG),Hygiène,vendredi,2024-08,A,23,157.0
ETUI SANDWICH,2000.0,PC (1 PC),Consommable,vendredi,2024-08,B,23,4000.0
FANTA BOITE 24CL,1221.0,PC (1 PC),Eaux et Sodas,vendredi,2024-08,A,23,1328.0
FANTA PET 30CL,142.0,PC (1 PQT),Eaux et Sodas,samedi,2024-08,B,23,312.0
FARINE EN PAQUET,191.0,PC (1 KG),Epicerie,dimanche,2024-08,A,23,252.0
FEUILLE DE BRIK,1.0,PC (10 PC),Epicerie,dimanche,2024-08,D,23,94.0
FILET DE POULET PANE,43.120000000000005,KG,Volaille Surgelée,vendredi,2024-08,D,23,141.12
FILM ETIRABLE 725GR,32.0,PC (1 GR),Consommable,vendredi,2024-08,A,23,38.0
FOND PLATEAU GOURM,3000.0,PC (1 PC),Consommable,samedi,2024-08,C,23,4000.0
FORNOX,18.0,PC,Hygiène,samedi,2024-08,B,23,48.0
FORTE NSPRS,2450.0,PC (1 PC),Cafe,vendredi,2024-08,A,23,5150.0
FRITE SURGELE 9/9 CLASSIC 2.5 KG,148.0,SCH (2.5 KG),Legumes Surgelés,vendredi,2024-08,A,23,290.0
FRITE SURGELE WEDGES 2.5 KG,31.0,KG (2.5 KG),Legumes Surgelés,samedi,2024-08,B,23,90.0
FROMAGE CHEDDAR EN BLOC,50.0,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-08,A,23,65.0
FROMAGE EDAM MEULE,13.5,KG,Beurre Oeuf Fromage,vendredi,2024-08,B,23,35.622
FROMAGE GOUTA,12.0,KG (1 KG),Beurre Oeuf Fromage,dimanche,2024-08,C,23,16.0
FROMAGE LAND OR,5.4,PC (1 KG),Beurre Oeuf Fromage,mardi,2024-08,A,23,25.4
FROMAGE MEULE GOUDA KG,23.85,KG (1 KG),Beurre Oeuf Fromage,vendredi,2024-08,A,23,32.932
FROMAGE MOZZARELLA  KG,176.93,KG (1 KG),Beurre Oeuf Fromage,vendredi,2024-08,A,23,176.93
GANT EN VINYL  XL,12500.0,SCH (1 PC),Hygiène,vendredi,2024-08,A,23,12500.0
GANT EN VINYL MEDUIM,1000.0,PC (1 PC),Hygiène,vendredi,2024-08,A,23,5700.0
