Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,16339,FORTE NSPRS,300.0,PC (1 PC),LIQUIDES,Cafe,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,80.0,0,1,1500.0,0
Economat,16340,INTENSO NSPRS,200.0,PC (1 PC),LIQUIDES,Cafe,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,68.36461126005362,0,1,2000.0,0
Economat,12585,COCA BOITE ZERO,34.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,76.10738255033557,0,1,166.0,0
Economat,14299,LIPTON ICE TEA PECHE 33 CL,43.0,PC (1 PC),LIQUIDES,THE,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,78.68338557993731,0,1,168.0,0
Economat,13081,SAC A POUBELLE GEANT BLANC,100.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,93.06803594351732,0,1,400.0,0
Economat,12886,BORGHELL,3.0,KG (1 KG),SOLIDES,Epicerie,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,C,C,C,63.82978723404256,0,1,5.0,0
Economat,12727,ORANGE A JUS,40.0,KG (1 KG),LIQUIDES,Jus Fruit Lait,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,79.17023096663816,0,1,121.0,0
Economat,12343,SUCRE BLANC EN SACHET GOURM,1000.0,PC (1 PC),LIQUIDES,Cafe,Economat GMD,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat GMD → GOURMANDISE,B,B,B,56.66666666666666,0,1,2000.0,0
Economat,12962,GANTS LATEX,200.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,32.55813953488372,0,1,600.0,0
Economat,16124,GANT EN VINYL MEDUIM,200.0,SCH (1 PC),CONSO/HYG,Hygiène,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,74.97789566755084,0,1,1000.0,0
Economat,13090,SERPILLERE,3.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,93.53846153846152,0,1,42.0,0
Economat,14235,TOQUE CHEF,2.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,C,C,C,83.54430379746836,0,1,4.0,0
Economat,13092,SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,A,A,A,77.73212818405916,0,1,72.0,0
Economat,13097,SNICKERS,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,C,C,C,30.76923076923077,0,1,48.0,0
Economat,12548,BISCUIT TUC,24.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,D,D,D,85.0,0,1,48.0,0
Economat,13616,ANANAS PCES,3.0,PC (1 PC),LIQUIDES,Jus Fruit Lait,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,76.66068222621185,0,1,34.0,0
Economat,13020,NOIX DE CAJOU GRILLES SALEES 65GR,12.0,PC (1 PC),SOLIDES,Fruits Secs,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,77.0,0,1,36.0,0
Economat,15248,MENTOS ROLLS FRUIT FLAVOUR,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,D,D,D,77.41935483870968,0,1,40.0,0
Economat,15244,MENTOS ROLLS MENTHE,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,D,D,D,70.0,0,1,40.0,0
Economat,15246,MENTOS ROLLS RAINBOW,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,D,D,D,46.42857142857143,0,1,40.0,0
Economat,15245,MENTOS ROLLS STRAWBERRY,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,D,D,D,77.14285714285715,0,1,40.0,0
Economat,13090,SERPILLERE,5.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,93.53846153846152,0,1,42.0,0
Economat,15356,PAIN CHAWARMA *10,3.0,PQT (10 PC),SOLIDES,Boulangerie_R,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,A,A,A,94.3089430894309,0,1,30.0,0
Economat,12993,KINDER T4,20.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,67.33333333333333,0,1,60.0,0
Economat,12879,AMANDES GRILEES SALEES 70GR,12.0,PC (1 PC),SOLIDES,Fruits Secs,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,72.5925925925926,0,1,48.0,0
Economat,16245,HARISSA 5/2,1.0,BOTTE (1 BTE),SOLIDES,Epicerie,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,A,A,A,82.23938223938224,0,1,24.0,0
Economat,12067,KIWI,20.0,PC (1 PC),SOLIDES,Fruits & Legumes Frais,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,80.87818696883853,0,1,109.0,0
Economat,12727,ORANGE A JUS,80.0,KG (1 KG),LIQUIDES,Jus Fruit Lait,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,79.17023096663816,0,1,121.0,0
Economat,16119,PAILLE ENVELOPPE 7.5MM NOIR,5.0,SCH (100 PC),CONSO/HYG,Consommable,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,B,B,B,42.63565891472868,0,1,10.0,0
Economat,16577,DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,15.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,88.0,0,1,45.0,0
Economat,12741,PAPIER ALUM DE 100,1.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,79.6116504854369,0,1,4.0,0
Economat,12645,FOURCHETTE NOIRE EMBALEE EJEM,500.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,75.0,0,1,2000.0,0
Economat,13786,JUS CITRONADE  CLASSIQUE 250 ml,15.0,PC (1 PC),LIQUIDES,Jus Fruit Lait,Economat AC,GOURMANDISE,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → GOURMANDISE,A,A,A,86.39281129653402,0,1,80.0,0
